<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.20	12:00:00	1589.65	1592.93	1565.24	1575.87	19585	0	3
2025.04.20	16:00:00	1575.88	1583.84	1570.63	1581.01	25965	0	5
2025.04.20	20:00:00	1580.99	1599.55	1575.42	1588.73	11517	0	5
2025.04.21	00:00:00	1587.69	1619.94	1574.59	1609.63	20299	0	0
2025.04.21	04:00:00	1609.72	1645.16	1607.57	1640.00	14910	0	0
2025.04.21	08:00:00	1640.00	1658.44	1637.31	1649.12	12841	0	0
2025.04.21	12:00:00	1649.11	1654.81	1617.75	1623.64	17293	0	0
2025.04.21	16:00:00	1623.64	1642.02	1587.21	1589.69	27839	0	0
2025.04.21	20:00:00	1589.82	1590.20	1563.08	1577.55	31125	0	0
2025.04.22	00:00:00	1575.90	1580.73	1538.53	1568.73	22221	0	0
2025.04.22	04:00:00	1568.73	1593.54	1564.65	1577.81	22770	0	0
2025.04.22	08:00:00	1577.81	1634.41	1573.78	1627.74	25042	0	0
2025.04.22	12:00:00	1627.77	1640.06	1613.23	1635.10	21053	0	0
2025.04.22	16:00:00	1634.97	1726.64	1627.13	1692.66	35194	0	0
2025.04.22	20:00:00	1692.57	1708.62	1684.70	1696.04	28042	0	0
2025.04.23	00:00:00	1697.77	1778.21	1697.75	1752.42	31707	0	0
2025.04.23	04:00:00	1752.54	1818.66	1748.27	1817.61	18567	0	0
2025.04.23	08:00:00	1817.61	1817.61	1774.28	1791.78	26238	0	0
2025.04.23	12:00:00	1791.78	1828.39	1779.48	1815.90	23020	0	0
2025.04.23	16:00:00	1815.85	1834.81	1761.60	1792.65	33853	0	0
2025.04.23	20:00:00	1792.23	1810.35	1774.57	1796.03	25739	0	0
2025.04.24	00:00:00	1796.44	1807.48	1783.93	1790.58	22908	0	0
2025.04.24	04:00:00	1790.58	1803.42	1758.19	1772.49	29146	0	0
2025.04.24	08:00:00	1772.49	1776.73	1723.14	1735.02	25872	0	0
2025.04.24	12:00:00	1735.01	1758.36	1734.61	1758.32	20679	0	0
2025.04.24	16:00:00	1758.32	1778.44	1745.17	1770.84	33303	0	0
2025.04.24	20:00:00	1770.84	1774.44	1746.43	1762.65	29109	0	0
2025.04.25	00:00:00	1763.28	1776.07	1749.69	1774.67	22171	0	0
2025.04.25	04:00:00	1774.69	1790.90	1739.29	1766.55	30801	0	0
2025.04.25	08:00:00	1766.54	1782.80	1763.54	1775.66	24502	0	0
2025.04.25	12:00:00	1775.80	1803.13	1765.15	1774.08	28357	0	0
2025.04.25	16:00:00	1774.09	1828.36	1758.14	1802.82	34639	0	0
2025.04.25	20:00:00	1802.82	1811.79	1783.30	1799.73	22974	0	0
2025.04.26	00:00:00	1762.85	1801.47	1762.85	1798.36	22451	0	5
2025.04.26	04:00:00	1798.50	1817.48	1790.74	1792.18	32569	0	5
2025.04.26	08:00:00	1792.17	1807.93	1789.36	1803.45	13239	0	5
2025.04.26	12:00:00	1803.15	1807.15	1779.66	1792.47	17344	0	2
2025.04.26	16:00:00	1792.34	1806.01	1780.69	1804.09	33005	0	5
2025.04.26	20:00:00	1803.91	1819.45	1800.02	1806.78	25716	0	5
2025.04.27	00:00:00	1808.02	1850.42	1808.02	1843.77	29588	0	5
2025.04.27	04:00:00	1843.79	1857.74	1797.43	1798.60	35517	0	5
