<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.26	02:30:00	2211.53	2216.10	2210.90	2215.35	2435	0	5
2024.01.26	02:45:00	2215.25	2216.48	2212.64	2214.63	2234	0	5
2024.01.26	03:00:00	2214.52	2215.23	2209.55	2212.34	2936	0	5
2024.01.26	03:15:00	2212.31	2216.60	2211.24	2215.20	2279	0	5
2024.01.26	03:30:00	2215.17	2218.70	2214.25	2214.93	2243	0	5
2024.01.26	03:45:00	2214.75	2225.27	2214.67	2222.46	2805	0	5
2024.01.26	04:00:00	2222.43	2234.14	2222.22	2230.50	3363	0	5
2024.01.26	04:15:00	2230.54	2236.94	2228.93	2236.12	3510	0	5
2024.01.26	04:30:00	2235.94	2236.23	2227.09	2228.35	3771	0	1
2024.01.26	04:45:00	2228.33	2228.52	2223.17	2226.55	3576	0	5
2024.01.26	05:00:00	2226.56	2229.63	2223.51	2227.27	2905	0	5
2024.01.26	05:15:00	2227.06	2227.31	2220.94	2221.14	3350	0	5
2024.01.26	05:30:00	2221.14	2224.04	2220.09	2221.37	3049	0	5
2024.01.26	05:45:00	2221.37	2223.92	2220.19	2222.51	2986	0	5
2024.01.26	06:00:00	2222.55	2225.12	2221.81	2222.18	2727	0	5
2024.01.26	06:15:00	2222.39	2225.00	2220.83	2223.57	2729	0	5
2024.01.26	06:30:00	2223.39	2228.39	2223.27	2227.18	2658	0	5
2024.01.26	06:45:00	2227.19	2227.82	2221.48	2223.09	2784	0	5
2024.01.26	07:00:00	2223.09	2224.47	2220.34	2220.81	2375	0	5
2024.01.26	07:15:00	2220.81	2222.63	2217.83	2220.22	2529	0	5
2024.01.26	07:30:00	2220.25	2223.25	2219.45	2221.22	2084	0	5
2024.01.26	07:45:00	2221.48	2223.19	2219.63	2220.09	2184	0	5
2024.01.26	08:00:00	2219.96	2222.25	2219.15	2220.69	2300	0	5
2024.01.26	08:15:00	2220.66	2223.03	2220.00	2221.85	2090	0	5
2024.01.26	08:30:00	2221.90	2222.97	2217.14	2219.93	1743	0	5
2024.01.26	08:45:00	2219.93	2220.19	2210.06	2212.17	3239	0	4
2024.01.26	09:00:00	2212.03	2213.86	2206.63	2208.99	3455	0	5
2024.01.26	09:15:00	2208.84	2209.19	2200.82	2201.67	3527	0	5
2024.01.26	09:30:00	2201.70	2204.25	2200.80	2203.26	3469	0	5
2024.01.26	09:45:00	2203.29	2204.80	2194.72	2196.58	3686	0	5
2024.01.26	10:00:00	2196.58	2207.28	2194.47	2207.08	3673	0	5
2024.01.26	10:15:00	2207.08	2214.29	2206.51	2212.45	3224	0	5
2024.01.26	10:30:00	2212.50	2213.60	2208.72	2210.45	2770	0	5
2024.01.26	10:45:00	2210.24	2211.26	2205.81	2207.99	2636	0	5
2024.01.26	11:00:00	2207.96	2212.98	2206.93	2212.17	2026	0	5
2024.01.26	11:15:00	2212.15	2213.60	2210.83	2211.78	2118	0	5
2024.01.26	11:30:00	2211.76	2220.00	2210.19	2220.00	2420	0	5
2024.01.26	11:45:00	2219.82	2223.37	2203.25	2205.12	4245	0	5
2024.01.26	12:00:00	2205.01	2210.04	2204.28	2207.05	4079	0	5
2024.01.26	12:15:00	2206.77	2218.55	2206.53	2217.81	3810	0	5
2024.01.26	12:30:00	2218.02	2234.52	2217.22	2234.52	4510	0	5
2024.01.26	12:45:00	2234.34	2239.22	2229.09	2236.46	4161	0	5
2024.01.26	13:00:00	2236.46	2244.27	2236.22	2239.96	4213	0	5
2024.01.26	13:15:00	2240.25	2250.12	2238.26	2249.01	4276	0	5
2024.01.26	13:30:00	2249.01	2259.29	2248.46	2251.89	4199	0	3
2024.01.26	13:45:00	2251.89	2256.89	2251.00	2252.81	4320	0	5
2024.01.26	14:00:00	2253.13	2257.00	2244.92	2250.86	4395	0	5
2024.01.26	14:15:00	2250.82	2263.98	2247.05	2260.19	4266	0	5
2024.01.26	14:30:00	2260.51	2262.52	2248.07	2248.24	4381	0	5
2024.01.26	14:45:00	2248.11	2251.60	2242.86	2246.23	4024	0	5
2024.01.26	15:00:00	2246.06	2249.60	2244.23	2248.24	3432	0	5
2024.01.26	15:15:00	2248.21	2250.75	2243.56	2248.19	3317	0	5
2024.01.26	15:30:00	2248.02	2249.12	2240.83	2244.37	3653	0	5
2024.01.26	15:45:00	2244.37	2244.76	2232.74	2239.58	3804	0	5
2024.01.26	16:00:00	2239.54	2248.01	2238.88	2246.44	3380	0	5
2024.01.26	16:15:00	2246.46	2250.63	2243.54	2247.26	3275	0	5
2024.01.26	16:30:00	2247.42	2252.10	2243.55	2251.10	3682	0	5
2024.01.26	16:45:00	2251.16	2257.85	2246.88	2257.55	3709	0	5
2024.01.26	17:00:00	2257.90	2258.10	2249.46	2257.12	3754	0	5
2024.01.26	17:15:00	2257.12	2259.48	2249.46	2254.26	3554	0	5
2024.01.26	17:30:00	2254.37	2257.09	2250.55	2256.23	3124	0	5
2024.01.26	17:45:00	2256.18	2258.68	2251.59	2257.05	3559	0	5
2024.01.26	18:00:00	2257.11	2272.26	2255.61	2267.65	4321	0	5
2024.01.26	18:15:00	2267.46	2275.83	2263.46	2273.26	4284	0	5
2024.01.26	18:30:00	2273.26	2274.91	2265.47	2269.85	4206	0	5
2024.01.26	18:45:00	2269.91	2281.59	2268.12	2278.50	3884	0	5
2024.01.26	19:00:00	2278.31	2281.50	2271.81	2272.25	4185	0	5
2024.01.26	19:15:00	2272.48	2275.86	2266.00	2267.80	4176	0	5
2024.01.26	19:30:00	2267.76	2272.68	2266.92	2271.16	3898	0	5
2024.01.26	19:45:00	2271.16	2271.68	2266.19	2267.99	3787	0	5
2024.01.26	20:00:00	2268.20	2275.78	2266.22	2266.65	4004	0	5
2024.01.26	20:15:00	2266.50	2272.74	2262.35	2270.13	3954	0	5
2024.01.26	20:30:00	2270.30	2271.22	2263.79	2264.75	3384	0	5
2024.01.26	20:45:00	2264.75	2268.45	2262.76	2266.11	2717	0	5
2024.01.26	21:00:00	2266.11	2267.01	2260.09	2262.09	3274	0	5
2024.01.26	21:15:00	2262.06	2264.65	2260.03	2262.96	3367	0	5
2024.01.26	21:30:00	2263.02	2263.15	2253.91	2254.45	3465	0	5
2024.01.26	21:45:00	2254.45	2259.35	2250.80	2258.30	3750	0	5
2024.01.26	22:00:00	2258.17	2262.24	2255.64	2261.45	3522	0	5
2024.01.26	22:15:00	2261.17	2261.89	2253.44	2257.27	3741	0	5
2024.01.26	22:30:00	2257.51	2258.53	2251.80	2255.87	3701	0	5
2024.01.26	22:45:00	2256.09	2259.26	2252.24	2257.93	3314	0	5
2024.01.26	23:00:00	2258.14	2258.57	2251.75	2254.82	3250	0	5
2024.01.26	23:15:00	2254.60	2255.81	2252.45	2254.10	2991	0	5
2024.01.26	23:30:00	2253.84	2256.18	2253.14	2254.02	2842	0	5
2024.01.26	23:45:00	2253.82	2260.18	2253.75	2258.98	2537	0	5
2024.01.27	00:00:00	2255.63	2264.09	2255.63	2263.84	1783	0	5
2024.01.27	00:15:00	2264.04	2269.08	2262.34	2264.97	3354	0	5
2024.01.27	00:30:00	2265.10	2267.56	2263.18	2266.00	1868	0	5
2024.01.27	00:45:00	2265.99	2271.31	2264.61	2267.00	717	0	5
2024.01.27	01:00:00	2267.33	2269.94	2263.76	2264.41	1316	0	5
2024.01.27	01:15:00	2264.23	2267.73	2264.05	2267.39	1254	0	5
2024.01.27	01:30:00	2267.49	2267.95	2263.22	2265.95	901	0	5
2024.01.27	01:45:00	2265.74	2269.75	2264.39	2267.42	907	0	5
2024.01.27	02:00:00	2267.46	2272.84	2264.71	2272.26	1537	0	5
2024.01.27	02:15:00	2272.10	2273.41	2269.21	2272.05	1595	0	5
2024.01.27	02:30:00	2272.14	2277.84	2270.54	2275.97	1787	0	5
2024.01.27	02:45:00	2275.95	2279.94	2272.22	2279.34	1852	0	5
2024.01.27	03:00:00	2279.34	2282.68	2273.39	2273.68	1672	0	5
2024.01.27	03:15:00	2273.74	2278.31	2273.15	2277.03	1298	0	5
2024.01.27	03:30:00	2277.10	2277.29	2273.73	2274.33	1199	0	5
2024.01.27	03:45:00	2274.18	2276.00	2267.69	2270.36	1213	0	5
2024.01.27	04:00:00	2270.46	2272.80	2269.56	2272.70	919	0	5
2024.01.27	04:15:00	2272.43	2273.90	2270.26	2270.63	865	0	5
2024.01.27	04:30:00	2270.62	2272.76	2269.79	2271.73	855	0	5
2024.01.27	04:45:00	2271.60	2275.29	2271.28	2274.28	794	0	5
2024.01.27	05:00:00	2274.65	2275.96	2270.48	2271.33	993	0	5
2024.01.27	05:15:00	2271.37	2275.37	2270.85	2274.29	728	0	5
2024.01.27	05:30:00	2274.22	2276.16	2272.84	2274.43	844	0	5
2024.01.27	05:45:00	2274.47	2275.81	2272.49	2273.27	710	0	5
2024.01.27	06:00:00	2273.20	2275.22	2272.76	2275.06	556	0	5
2024.01.27	06:15:00	2274.85	2275.76	2272.52	2275.56	560	0	5
2024.01.27	06:30:00	2275.22	2275.39	2272.21	2273.93	711	0	5
2024.01.27	06:45:00	2273.93	2275.66	2272.43	2273.60	721	0	5
2024.01.27	07:00:00	2273.53	2274.04	2268.10	2268.62	930	0	5
2024.01.27	07:15:00	2268.83	2269.69	2265.82	2266.54	705	0	5
2024.01.27	07:30:00	2266.57	2268.14	2262.99	2263.29	1046	0	5
2024.01.27	07:45:00	2263.29	2264.09	2260.27	2262.46	1042	0	5
2024.01.27	08:00:00	2262.49	2264.50	2261.79	2263.56	720	0	5
2024.01.27	08:15:00	2263.58	2266.52	2262.95	2265.14	551	0	5
2024.01.27	08:30:00	2265.00	2266.10	2262.55	2264.94	795	0	5
2024.01.27	08:45:00	2264.87	2265.79	2262.79	2263.35	819	0	5
2024.01.27	09:00:00	2263.27	2266.02	2262.63	2263.09	975	0	5
2024.01.27	09:15:00	2262.79	2263.06	2253.29	2257.28	1996	0	5
2024.01.27	09:30:00	2257.01	2258.27	2252.43	2258.27	1300	0	5
2024.01.27	09:45:00	2258.04	2258.90	2255.74	2258.04	1030	0	5
2024.01.27	14:00:00	2265.00	2270.34	2264.38	2268.54	814	0	5
2024.01.27	14:15:00	2268.58	2269.24	2264.90	2265.69	1024	0	5
2024.01.27	14:30:00	2265.91	2266.78	2263.50	2263.81	936	0	5
2024.01.27	14:45:00	2264.18	2265.31	2261.76	2263.24	942	0	5
2024.01.27	15:00:00	2262.92	2265.56	2261.77	2263.95	916	0	5
2024.01.27	15:15:00	2264.21	2266.40	2263.87	2264.23	759	0	5
2024.01.27	15:30:00	2264.49	2268.30	2263.52	2268.20	778	0	5
2024.01.27	15:45:00	2268.31	2268.57	2266.77	2267.23	689	0	5
2024.01.27	16:00:00	2267.29	2268.92	2266.73	2268.80	605	0	5
2024.01.27	16:15:00	2268.74	2270.97	2268.74	2269.23	796	0	5
2024.01.27	16:30:00	2269.37	2274.97	2269.17	2274.77	1053	0	5
2024.01.27	16:45:00	2274.77	2274.87	2267.74	2268.97	1199	0	5
2024.01.27	17:00:00	2269.10	2272.29	2267.20	2270.12	879	0	5
2024.01.27	17:15:00	2270.06	2272.88	2269.09	2272.76	823	0	5
2024.01.27	17:30:00	2272.84	2274.20	2269.94	2271.69	1140	0	5
2024.01.27	17:45:00	2271.74	2271.91	2268.56	2270.07	816	0	5
2024.01.27	18:00:00	2270.07	2272.85	2268.72	2271.26	929	0	5
2024.01.27	18:15:00	2271.26	2273.27	2270.13	2272.06	795	0	5
2024.01.27	18:30:00	2272.00	2272.69	2267.38	2268.93	742	0	5
2024.01.27	18:45:00	2268.98	2268.98	2262.63	2263.74	1123	0	5
2024.01.27	19:00:00	2263.87	2265.31	2261.05	2264.42	911	0	5
2024.01.27	19:15:00	2264.31	2266.57	2263.62	2265.78	661	0	5
2024.01.27	19:30:00	2265.78	2267.04	2264.10	2266.71	571	0	5
2024.01.27	19:45:00	2266.64	2267.54	2264.05	2265.22	639	0	5
2024.01.27	20:00:00	2265.11	2269.58	2262.90	2269.47	1039	0	5
2024.01.27	20:15:00	2269.53	2270.60	2266.66	2269.56	678	0	5
2024.01.27	20:30:00	2269.65	2271.26	2268.20	2269.55	653	0	5
2024.01.27	20:45:00	2269.41	2269.65	2265.93	2266.72	611	0	5
2024.01.27	21:00:00	2266.57	2272.92	2266.45	2271.03	1133	0	5
2024.01.27	21:15:00	2271.03	2274.33	2270.61	2272.01	1147	0	5
2024.01.27	21:30:00	2271.91	2277.58	2270.28	2276.97	1625	0	5
2024.01.27	21:45:00	2276.92	2276.92	2272.11	2272.46	1224	0	5
2024.01.27	22:00:00	2272.41	2273.56	2270.24	2271.30	950	0	5
2024.01.27	22:15:00	2271.30	2273.76	2271.30	2271.98	763	0	5
2024.01.27	22:30:00	2271.86	2275.67	2269.79	2271.45	1079	0	5
2024.01.27	22:45:00	2271.65	2272.34	2269.72	2271.23	876	0	5
2024.01.27	23:00:00	2271.55	2272.23	2267.12	2269.28	1052	0	5
2024.01.27	23:15:00	2269.22	2273.37	2266.95	2272.77	942	0	5
2024.01.27	23:30:00	2272.70	2274.62	2269.59	2270.91	1113	0	5
2024.01.27	23:45:00	2270.89	2272.86	2269.66	2272.26	801	0	5
2024.01.28	00:00:00	2267.44	2271.20	2265.31	2267.32	633	0	5
2024.01.28	00:15:00	2267.38	2271.39	2265.83	2271.29	1055	0	5
2024.01.28	00:30:00	2271.36	2271.61	2267.96	2268.47	755	0	5
2024.01.28	00:45:00	2268.40	2268.64	2263.78	2266.52	803	0	5
2024.01.28	01:00:00	2266.58	2267.47	2260.95	2263.89	1535	0	5
2024.01.28	01:15:00	2263.96	2266.82	2262.24	2265.94	1207	0	5
2024.01.28	01:30:00	2266.17	2268.05	2263.86	2266.74	839	0	5
2024.01.28	01:45:00	2266.68	2268.76	2266.14	2267.74	748	0	5
2024.01.28	02:00:00	2267.68	2268.05	2264.36	2267.32	1452	0	5
2024.01.28	02:15:00	2267.58	2268.54	2262.46	2263.67	1349	0	5
2024.01.28	02:30:00	2263.43	2265.83	2262.53	2265.05	1142	0	5
2024.01.28	02:45:00	2265.10	2268.25	2263.57	2267.44	962	0	5
2024.01.28	03:00:00	2267.44	2274.14	2267.16	2274.05	1251	0	5
2024.01.28	03:15:00	2274.14	2288.93	2272.88	2286.38	2337	0	5
2024.01.28	03:30:00	2286.31	2288.22	2274.55	2276.06	2463	0	5
2024.01.28	03:45:00	2276.40	2280.12	2275.51	2278.69	1667	0	5
2024.01.28	04:00:00	2278.64	2283.79	2278.64	2281.10	1344	0	5
2024.01.28	04:15:00	2281.10	2281.85	2278.38	2280.66	1005	0	5
2024.01.28	04:30:00	2280.71	2282.23	2276.86	2277.18	1007	0	5
2024.01.28	04:45:00	2277.09	2280.63	2276.13	2279.24	794	0	5
2024.01.28	05:00:00	2279.25	2283.40	2278.73	2283.06	841	0	5
2024.01.28	05:15:00	2282.99	2283.93	2279.33	2279.69	862	0	5
2024.01.28	05:30:00	2279.72	2280.76	2278.24	2280.01	507	0	5
2024.01.28	05:45:00	2280.12	2288.78	2279.94	2287.02	1007	0	5
2024.01.28	06:00:00	2287.02	2293.35	2284.81	2286.57	1793	0	5
2024.01.28	06:15:00	2286.65	2289.86	2284.84	2288.02	1672	0	5
2024.01.28	06:30:00	2287.80	2293.36	2286.86	2293.36	2100	0	5
2024.01.28	06:45:00	2293.18	2305.01	2291.18	2303.62	2411	0	5
2024.01.28	07:00:00	2303.31	2308.36	2298.37	2300.99	2898	0	5
2024.01.28	07:15:00	2301.24	2306.06	2297.20	2298.24	2398	0	5
2024.01.28	07:30:00	2298.60	2298.62	2286.80	2287.22	2297	0	5
2024.01.28	07:45:00	2287.16	2291.08	2286.61	2290.82	1676	0	5
2024.01.28	08:00:00	2290.94	2291.94	2285.99	2287.04	1562	0	5
2024.01.28	08:15:00	2287.32	2290.76	2285.37	2287.82	1250	0	5
2024.01.28	08:30:00	2287.91	2289.74	2283.90	2284.91	1158	0	5
2024.01.28	08:45:00	2285.10	2288.20	2283.72	2287.58	1227	0	5
2024.01.28	09:00:00	2287.51	2291.74	2286.83	2291.54	1003	0	5
2024.01.28	09:15:00	2291.54	2293.78	2287.80	2288.01	1135	0	5
2024.01.28	09:30:00	2288.15	2289.18	2286.45	2287.13	810	0	5
2024.01.28	09:45:00	2287.04	2288.03	2281.65	2282.97	1158	0	5
2024.01.28	10:00:00	2283.25	2284.55	2277.45	2281.43	1586	0	5
2024.01.28	10:15:00	2281.26	2289.43	2281.14	2287.07	1744	0	5
2024.01.28	10:30:00	2287.01	2291.22	2286.52	2290.15	1688	0	5
2024.01.28	10:45:00	2289.94	2290.39	2284.89	2285.98	1298	0	5
2024.01.28	11:00:00	2285.90	2288.61	2284.87	2284.87	1119	0	5
2024.01.28	11:15:00	2285.02	2292.01	2284.01	2290.90	1185	0	5
2024.01.28	11:30:00	2290.69	2301.75	2289.55	2296.82	1776	0	5
2024.01.28	11:45:00	2296.82	2297.93	2293.68	2294.59	1465	0	5
2024.01.28	12:00:00	2294.80	2296.02	2291.40	2291.64	1115	0	5
2024.01.28	12:15:00	2291.46	2295.37	2289.31	2289.94	1207	0	5
2024.01.28	12:30:00	2290.03	2295.49	2288.24	2295.32	1381	0	5
2024.01.28	12:45:00	2295.32	2295.50	2292.54	2293.52	725	0	5
2024.01.28	13:00:00	2293.52	2294.57	2286.09	2286.48	1004	0	5
2024.01.28	13:15:00	2286.31	2287.82	2280.89	2284.22	1810	0	5
2024.01.28	13:30:00	2284.08	2284.15	2277.08	2278.21	1915	0	5
2024.01.28	13:45:00	2278.15	2282.04	2276.85	2280.86	1416	0	5
2024.01.28	14:00:00	2280.80	2282.45	2274.87	2275.38	2113	0	5
2024.01.28	14:15:00	2275.36	2276.73	2268.44	2274.85	2561	0	5
2024.01.28	14:30:00	2274.87	2279.25	2271.42	2273.02	1833	0	5
2024.01.28	14:45:00	2272.92	2277.71	2270.69	2276.46	1563	0	5
